,R,CGDP,CPIR,INVR,HP,IR,ROP,IROR,LSOI,RGDP,RGDP,MA,TOBQ
1995Q2,0.0,120.2,0.8174988952717621,1.6070322400986603,0.6362593746546352,4.7825011047282375,127.254,6.490951977214446e-06,107.095,11353.721,0.298322846097121,45.9,1.041
1995Q3,0.0,120.7,0.504054350208194,0.9358810327831036,0.8944071565525569,4.865945649791806,127.901,4.7695731213146486e-05,107.337,11450.31,0.8507255022384363,48.1,1.098
1995Q4,0.0,121.5,0.5451373746184096,1.8742172867417968,0.5157632179392024,4.71486262538159,125.825,4.600063090502272e-06,107.354,11528.067,0.6790820510536255,46.2,1.176
1996Q1,0.0,121.8,0.889178052483186,2.104906734912837,0.8485733574080001,4.040821947516814,122.168,2.599733845449825e-05,107.509,11614.418,0.7490501226268043,46.9,1.208
1996Q2,0.0,122.3,0.8598452278590019,2.059382890993744,0.6991771913868128,4.160154772140998,119.511,1.170440640874417e-05,107.042,11808.14,1.6679441018912833,53.6,1.25
1996Q3,0.0,122.5,0.5754475703324768,3.1287231557615147,0.5627700774719635,4.524552429667523,118.893,7.466528579341818e-06,107.093,11914.063,0.8970337411311258,51.1,1.252
1996Q4,0.0,122.3,0.8688281415554222,2.694563422519436,0.6298130212656794,4.111171858444578,119.27,1.9462846413330643e-05,107.067,12037.775,1.0383695301930065,55.2,1.27
1997Q1,0.0,122.1,0.6092436974789894,2.12459493093804,0.8147935020121899,4.45075630252101,123.197,1.5735288717133508e-05,107.891,12115.472,0.6454431985977394,53.8,1.182
1997Q2,0.0,122.7,0.2296930465650604,2.237603956406176,1.007234193155515,4.820306953434939,124.998,8.493446546074494e-06,106.938,12317.221,1.665217830555843,54.9,1.362
1997Q3,0.0,123.5,0.4999999999999893,3.967056063461572,1.2233500874776482,4.5500000000000105,129.051,3.95670871313152e-05,106.75,12471.01,1.2485689750959317,53.9,1.426
1997Q4,0.0,124.1,0.5389718076285188,-0.4864953830612029,1.4913958190596155,4.551028192371481,134.535,-1.6107119873100263e-05,107.9,12577.495,0.8538602727445443,54.5,1.408
1998Q1,0.0,124.9,0.2061855670103085,1.813030321349496,1.974010909657764,4.843814432989691,147.779,-4.707206644207348e-05,109.022,12703.742,1.0037531320823412,52.9,1.519
1998Q2,0.0,127.0,0.3292181069958877,1.7937405613239532,1.3311978540864189,4.650781893004113,147.641,2.1923121648394705e-06,109.741,12821.339,0.9256878799962952,48.9,1.552
1998Q3,0.0,128.1,0.5127153404429929,1.5605069253754378,1.7508916345486014,4.307284659557007,148.551,2.038415997117108e-05,109.707,12982.752,1.258940271371034,48.7,1.362
1998Q4,0.0,129.4,0.4692919812283147,1.7011380654837316,1.876400307010684,3.780708018771685,149.128,-2.0675479815329905e-05,109.538,13191.67,1.609196570958149,46.8,1.649
1999Q1,0.0,130.4,0.3655564581640957,2.342907558082552,1.5316132094968182,4.044443541835904,150.091,2.140285076366756e-05,109.9,13315.597,0.9394337487217186,52.4,1.679
1999Q2,0.0,131.3,0.7486847430190346,2.6470098284191224,1.958197984316623,3.7013152569809655,153.867,6.98688212800736e-07,109.622,13426.748,0.8347428958686454,55.8,1.811
1999Q3,0.0,133.1,0.7431211086563749,2.604006069556464,1.9462679554580475,3.9068788913436254,160.264,-2.8309697983107075e-05,109.221,13604.771,1.3258832295057754,57.0,1.684
1999Q4,0.0,133.9,0.7376395534290259,0.89602669890676,2.1278408290673845,4.302360446570974,168.891,-9.531997599374086e-06,109.265,13827.98,1.6406670865683814,57.8,2.036
2000Q1,0.0,134.8,0.9895111814763436,3.9988595402301153,2.43228113327687,4.530488818523656,180.13,-4.996029322397725e-06,112.828,13878.147,0.3627934087263806,54.9,2.168
2000Q2,0.0,135.7,0.783852635704485,3.8804282800495526,2.53669048173899,4.926147364295515,190.637,5.102001193961157e-08,110.474,14130.908,1.821287813135264,51.4,2.07
2000Q3,0.0,136.2,0.9138635037915676,1.4454347912834953,2.140299648186872,5.106136496208432,201.886,-1.751585444586596e-05,112.022,14145.312,0.1019325863560904,49.7,1.886
2000Q4,0.0,136.7,0.7129094412331449,0.38861701690176,2.2443555665571324,5.307090558766855,212.229,-3.286508352783235e-05,111.152,14229.765,0.5970387927816567,43.9,1.469
2001Q1,1.0,136.3,0.9565716472163645,-1.7456134804604728,2.366469087666001,3.863428352783636,222.248,-1.7587510328245485e-05,113.626,14183.12,-0.3277988076401672,43.1,1.294
2001Q2,1.0,138.4,0.70115595982565,-2.344998354975447,1.7491616662385745,2.95884404017435,226.792,7.1596739534478925e-06,111.694,14271.694,0.624502930243831,43.2,1.392
