date,profits_nom,inv_nom,gdpdef,profits_real,inv_real,d_profits_real,inv_real_lag,IROR,IROR_pct
1992Q2,448.027,539207.0,62.535,716.4419924842089,862248.3409290798,1.3199706377134817,838641.5919949808,1.5739389153994899e-06,0.000157393891539949
1992Q3,439.505,549924.0,62.841,699.3921166117661,875103.8334845084,-17.049875872442726,862248.3409290798,-1.9773741581307472e-05,-0.0019773741581307473
1992Q4,464.218,564047.0,63.273,733.6747111722219,891449.7494982062,34.28259456045578,875103.8334845084,3.9175459241160627e-05,0.003917545924116063
1993Q1,452.757,569368.0,63.628,711.568806185956,894838.7502357453,-22.105904986265955,891449.7494982062,-2.4797701719821322e-05,-0.002479770171982132
1993Q2,482.891,575546.0,64.007,754.4346712078367,899192.2758448294,42.86586502188072,894838.7502357453,4.790345189073194e-05,0.004790345189073194
1993Q3,487.618,581939.0,64.387,757.3236833522294,903814.4345908335,2.889012144392723,899192.2758448294,3.2128969765430568e-06,0.0003212896976543057
1993Q4,531.754,605105.0,64.738,821.3939262874974,934698.3224690291,64.07024293526797,903814.4345908335,7.088871396955865e-05,0.007088871396955865
1994Q1,546.445,613049.0,65.048,840.0642602385931,942456.3399335875,18.6703339510957,934698.3224690291,1.9974716443031097e-05,0.00199747164430311
1994Q2,573.511,625007.0,65.362,877.4379608947095,956223.7997613292,37.3737006561164,942456.3399335875,3.9655630794260486e-05,0.003965563079426048
1994Q3,594.459,640335.0,65.737,904.2989488415961,974086.131098164,26.860987946886667,956223.7997613292,2.809069169120356e-05,0.002809069169120356
1994Q4,624.832,669517.0,66.093,945.3830208947998,1012992.2987305765,41.08407205320361,974086.131098164,4.2177042400641e-05,0.0042177042400641
1995Q1,611.494,703844.0,66.452,920.2040570637453,1059176.5484861254,-25.17896383105449,1012992.2987305765,-2.4856026904259108e-05,-0.002485602690425911
1995Q2,619.02,715155.0,66.771,927.0791211753605,1071056.2968953587,6.875064111615188,1059176.5484861254,6.490951977214446e-06,0.0006490951977214446
1995Q3,656.348,721848.0,67.1,978.1639344262295,1075779.4336810731,51.08481325086905,1071056.2968953587,4.7695731213146486e-05,0.0047695731213146485
1995Q4,662.844,735377.0,67.423,983.1125876926272,1090691.6037553952,4.948653266397741,1075779.4336810731,4.600063090502272e-06,0.0004600063090502272
1996Q1,685.239,750856.0,67.747,1011.4676664649357,1108323.615805866,28.355078772308502,1090691.6037553952,2.599733845449825e-05,0.0025997338454498246
1996Q2,696.906,766319.0,68.028,1024.4399364967364,1126475.8628799904,12.97227003180069,1108323.615805866,1.170440640874417e-05,0.0011704406408744171
1996Q3,704.931,790295.0,68.251,1032.8508007208686,1157924.4260157358,8.410864224132183,1126475.8628799904,7.4665285793418185e-06,0.0007466528579341818
1996Q4,724.154,811590.0,68.615,1055.387305982657,1182817.1682576698,22.536505261788307,1157924.4260157358,1.9462846413330643e-05,0.0019462846413330643
1997Q1,741.328,828833.0,69.025,1073.9992756247736,1200772.1839913074,18.61196964211672,1182817.1682576698,1.5735288717133508e-05,0.0015735288717133508
1997Q2,749.853,847379.0,69.162,1084.197969983517,1225208.9297591161,10.198694358743296,1200772.1839913074,8.493446546074494e-06,0.0008493446546074494
1997Q3,786.802,880995.0,69.464,1132.6759184613613,1268275.6535759529,48.47794847784439,1225208.9297591161,3.95670871313152e-05,0.00395670871313152
1997Q4,775.181,876709.0,69.695,1112.2476504770789,1257922.3760671497,-20.428267984282456,1268275.6535759529,-1.6107119873100263e-05,-0.0016107119873100264
1998Q1,734.955,892604.0,69.794,1053.034644811875,1278912.2274120986,-59.21300566520381,1257922.3760671497,-4.7072066442073475e-05,-0.004707206644207347
1998Q2,738.654,908615.0,69.959,1055.8384196457926,1298782.1438270987,2.803774833917487,1278912.2274120986,2.1923121648394705e-06,0.00021923121648394705
1998Q3,760.379,922794.0,70.255,1082.3130026332647,1313492.2781296705,26.474582987472104,1298782.1438270987,2.038415997117108e-05,0.002038415997117108
1998Q4,743.389,938492.0,70.453,1055.155919549203,1332082.3811619093,-27.157083084061696,1313492.2781296705,-2.0675479815329905e-05,-0.0020675479815329906
1999Q1,765.957,960480.0,70.682,1083.6662799581222,1358874.9610933478,28.51036040891927,1332082.3811619093,2.1402850763667556e-05,0.0021402850763667554
1999Q2,769.524,985904.0,70.949,1084.6157098761082,1389595.3431338004,0.9494299179859809,1358874.9610933478,6.98688212800736e-07,6.98688212800736e-05
1999Q3,744.237,1011577.0,71.2,1045.2766853932583,1420754.213483146,-39.339024482849936,1389595.3431338004,-2.8309697983107075e-05,-0.0028309697983107075
1999Q4,738.67,1020641.0,71.595,1031.7340596410363,1425575.8083665061,-13.542625752221966,1420754.213483146,-9.531997599374086e-06,-0.0009531997599374086
2000Q1,738.448,1061455.0,72.071,1024.6118411011364,1472790.720261964,-7.1222185398999045,1425575.8083665061,-4.996029322397725e-06,-0.0004996029322397725
2000Q2,743.103,1102644.0,72.52,1024.6869829012687,1520468.836183122,0.07514180013231453,1472790.720261964,5.1020011939611574e-08,5.102001193961157e-06
2000Q3,728.021,1118582.0,72.944,998.05467207721,1533480.4781750385,-26.632310824058777,1520468.836183122,-1.751585444586596e-05,-0.001751585444586596
2000Q4,694.983,1122929.0,73.337,947.656708073687,1531190.2586688846,-50.39796400352293,1533480.4781750385,-3.286508352783235e-05,-0.0032865083527832345
2001Q1,679.699,1103327.0,73.822,920.7268835848391,1494577.49722305,-26.929824488847885,1531190.2586688846,-1.7587510328245485e-05,-0.0017587510328245484
2001Q2,691.734,1077454.0,74.266,931.4275711631163,1450803.867180136,10.700687578277211,1494577.49722305,7.1596739534478925e-06,0.0007159673953447892
2001Q3,676.964,1061039.0,74.558,907.9696343786046,1423105.5017570213,-23.45793678451173,1450803.867180136,-1.61689235293437e-05,-0.0016168923529343699
